transfer_time_all_us,compression_time_all_us,total_time,folder_sizes_mb
149237679.0,0,149237679.0,1606.084309
105782356.1,208087182,313869538.1,1108.881918
79308126.6,182191637,261499763.6,807.770713
60838189.6,161321107,222159296.6,596.683451
50527104.3,149775814,200302918.3,480.034904
42285176.4,140092116,182377292.4,384.19195
38141192.6,135503563,173644755.6,337.670355
34215843.8,131734850,165950693.8,292.291596
31797882.0,128267553,160065435.0,264.380274
29479013.0,125660956,155139969.0,237.68109
27623355.3,123125373,150748728.3,216.47789
26083858.5,120918097,147001955.5,197.770574
24803659.5,119530016,144333675.5,186.192442
23566932.6,118921165,142488097.6,173.810036
22890596.6,117661550,140552146.6,163.003438
22053047.3,116668238,138721285.3,153.32992
21500955.8,115894203,137395158.8,146.191828
20901347.5,115293728,136195075.5,139.43973
20340080.3,115742355,136082435.3,133.249292
19828390.8,114422073,134250463.8,127.621629
19518389.1,113129816,132648205.1,123.70674
19089160.5,112864668,131953828.5,119.324135
18747844.0,112127528,130875372.0,115.375232
18450936.8,111488381,129939317.8,111.624511
18158895.6,111308437,129467332.6,108.553581
17948983.3,110355778,128304761.3,105.881165
17643268.7,110605400,128248668.7,103.021836
17474101.3,110330291,127804392.3,100.76607
16912037.0,110005597,126917634.0,98.75644
17115771.3,109253539,126369310.3,96.66843
17086665.3,109754940,126841605.3,94.919851
